id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2507122,Luxury Apartment Sea View ,12569511,Alexandros,,Χερσονήσου,35.28295,25.45163,Entire home/apt,100,1,7,2015-08-11,0.11,4,365
2507438,Superior Studio with Garden View,12569511,Alexandros,,Χερσονήσου,35.28133,25.45271,Entire home/apt,100,1,1,2014-08-26,0.02,4,365
2514187,Agapi-Nikitas,12716234,Nikita,,Αγίου Νικολάου,35.29238,25.50004,Entire home/apt,249,5,10,2019-04-21,0.22,1,296
2518356,Villa to Rent,12892433,Spiros,,Ρεθύμνης,35.36802,24.59641,Entire home/apt,170,1,0,,,1,342
2518497,"Pool, basket, playground, soccer, volley and more!",12389816,Kostas,,Ρεθύμνης,35.35792,24.58165,Entire home/apt,600,7,6,2019-05-06,0.22,142,271
2518971,"Paradise Villa, Ideal for Groups!",12389816,Kostas,,Ρεθύμνης,35.34484,24.428,Entire home/apt,400,7,10,2019-05-12,0.19,142,155
2519402,Zaros! Cozy stoudio with pool. Cooking courses!,11821381,Vivi,,Φαιστού,35.12763,24.90696,Entire home/apt,27,2,59,2019-05-28,1.62,2,168
2522375,Central Dublex Apartment #17 in Chania town,12276290,Katerina,,Χανίων,35.50998,24.01062,Entire home/apt,42,3,11,2017-07-11,0.18,24,341
2525286,"A quiet paradise, private pool and amazing garden.",12930093,Nikos,,Ρεθύμνης,35.37411,24.6433,Entire home/apt,79,4,6,2018-08-09,0.10,1,281
2533808,"Villa Athina, Unique Architecture!",12389816,Kostas,,Πλατανιά,35.54023,23.73121,Entire home/apt,700,7,3,2018-09-10,0.10,142,342
2535090,"Villa Eleni, Unique Architecture!",12389816,Kostas,,Πλατανιά,35.54168,23.73324,Entire home/apt,700,7,0,,,142,321
2535353,Villa Kiara,12983465,Kiara,,Χανίων,35.5675,24.0806,Entire home/apt,240,3,6,2018-05-26,0.10,4,318
2535879,"Villa Joanna, Large Heated Pool & Garden!",12389816,Kostas,,Ρεθύμνης,35.38473,24.61943,Entire home/apt,310,7,5,2018-09-23,0.10,142,139
2540869,"Villa Pente Anemoi, Sea and Farm!",12389816,Kostas,,Αγίου Βασιλείου,35.17875,24.44495,Entire home/apt,185,5,6,2018-08-25,0.13,142,146
2541486,"Allaria, Stone Made Villa & Pool",12389816,Kostas,,Μυλοποτάμου,35.34694,24.68074,Entire home/apt,255,7,6,2018-07-20,0.18,142,157
